formafarmaceutica,cantidad_medicamentos
AEROSOL,1
BARRA,1
CAPSULA,1
CAPSULA BLANDA,8
CHAMPÚ,6
CREMA,33
CREMA DENTAL,4
CREMA TOPICA,6
CREMA TÓPICA,27
CREMA TÓPICA - LABIAL,1
CREMA VAGINAL,4
CÁPSULA,15
CÁPSULA BLANDA,29
CÁPSULA BLANDA  QUE CONTIENE 2 TABLETAS,1
CÁPSULA BLANDA / TABLETA,2
CÁPSULA BLANDA / TABLETAS,1
CÁPSULA BLANDA DE GELATINA MASTICABLE,1
CÁPSULA DE GELATINA BLANDA,2
CÁPSULA DE GELATINA BLANDA / GRANULADOS /TABLETA,1
CÁPSULA DE GELATINA DURA,1
CÁPSULA DURA,12
CÁPSULA DURA DE LIBERACIÓN PROLONGADA,1
CÁPSULA DURA Y GRANULADO EN POLVO PARA RECONSTITUIR A SOLUCIÓN ORAL,1
CÁPSULAS,1
CÁPSULAS DE GELATINA BLANDA,1
EMULSION  CHAMPÚ,1
EMULSIÓN,3
EMULSIÓN  CHAMPOO,1
EMULSIÓN  CHAMPÚ,1
EMULSIÓN OFTÁLMICA,1
EMULSIÓN ORAL,3
EMULSIÓN TÓPICA,2
ENJUAGUE BUCAL,4
ESPUMA,3
ESPUMA TÓPICA EN AEROSOL,4
GEL,23
GEL **,1
GEL OFTÁLMICO,1
GEL TÓPICO,19
GOMA DE MASCAR,2
GOMA EN FORMA DE PASTILLA,1
GOTAS   SOLUCIÓN NASAL,1
GOTAS – SOLUCIÓN ORAL,1
GRAGEA,8
GRAGEA  / TABLETA/GRANULADO  -ORAL,2
GRAGEA / TABLETA RECUBIERTA,1
GRAGEAS,1
GRANULADO,8
GRANULADO EFERVESCENTE,1
GRANULADO EN POLVO PARA RECONSTITUIR A SOLUCIÓN ORAL,2
GRANULADO O POLVO PARA RECONSTITUIR A SOLUCIÓN ORAL,1
GRANULADO ORAL,1
GRANULADO PARA RECONSTITUIR  ADMINISTRACIÓN ORAL,1
GRANULADO-SACHET,3
GRANULOS EFERVECENTES,4
GRÁNULOS,3
GRÁNULOS  POLVO EFERVESCENTE,1
GRÁNULOS EFERVESCENTES,3
GRÁNULOS PARA ADMINISTRACIÓN ORAL,4
JABÓN LÍQUIDO,5
JARABE,56
LACA / SOLUCIÓN TÓPICA,1
LAMINAS DISPERSABLES,2
LIOFILIZADO PARA SOLUCIÓN BEBIBLE,1
LIQUIDO OLEOSO  ACEITE,3
LOCION TOPICA,1
LOCIÓN,36
LOCIÓN TÓPICA,14
LÁMINA,1
NO REPORTA,6
OVULO VAGINAL/TABLETA VAGINAL,3
PARCHE,9
PASTA,4
PASTA DE JABÓN,5
POLVO,3
POLVO EFERVECENTE,1
POLVO EFERVESCENTE,1
POLVO EFERVESCENTE PARA ADMINISTRACIÓN ORAL,2
POLVO EFERVESCENTE PARA RECONSTITUIR A SOLUCIÓN ORAL,1
POLVO LIOFILIZADO  PARA RECONSTITUIR A SOLUCIÓN ORAL,1
POLVO ORAL,1
POLVO P/R A SOLUCIÓN,2
POLVO PARA DISOLUCIÓN,1
POLVO PARA RECONSTITUIR,1
POLVO PARA RECONSTITUIR A SOLUCION ORAL,1
POLVO PARA RECONSTITUIR A SOLUCIÓN ORAL,5
POLVO PARA RECONSTITUIR A SUSPENSIÓN ORAL,3
POLVO PARA RECONSTIUIR PARA ADMINISTRACIÓN ORAL,1
POLVO PARA USO TÓPICO,8
POLVO TÓPICO,19
POLVO Y GRANULADO,4
POMADA,15
SOLICIÓN ORAL,1
